timestamp,model,is_final,seed,success_rate_tool_hang_ph,success_rate_can_ph,success_rate_square_ph,elapsed_tool_hang_ph,elapsed_can_ph,elapsed_square_ph
2026-04-19T22:59:19.764157+00:00,baseline:attention_fusion,true,123,0.12,0.86,0.74,23448,9893,11752
2026-04-19T22:59:19.760215+00:00,baseline:attention_fusion,true,42,0.08,0.76,0.64,23448,9893,11672
2026-04-19T22:59:19.765310+00:00,baseline:attention_fusion,true,456,0.14,0.88,0.66,23448,9893,11943
2026-04-19T22:59:19.765310+00:00,baseline:attention_fusion,true,mean,0.113333333333,0.833333333333,0.68,23448,9893,11789
2026-04-19T21:20:07.306321+00:00,baseline:gated_fusion,true,123,0.12,0.94,0.62,24432,8987,12856
2026-04-19T21:20:07.205661+00:00,baseline:gated_fusion,true,42,0.1,0.96,0.68,24376,8928,12704
2026-04-19T21:20:07.423738+00:00,baseline:gated_fusion,true,456,0.14,0.98,0.62,24432,8987,12856
2026-04-19T21:20:07.423738+00:00,baseline:gated_fusion,true,mean,0.12,0.96,0.64,24413.3333333,8967.33333333,12805.3333333
2026-04-19T19:57:41.326062+00:00,baseline:default,true,123,0.08,0.86,0.64,21585,7875,10454
2026-04-19T19:57:23.528029+00:00,baseline:default,true,42,0.1,0.86,0.76,21585,7875,10082
2026-04-19T19:57:41.466788+00:00,baseline:default,true,456,0.26,0.84,0.8,21753,7892,10454
2026-04-19T19:57:41.466788+00:00,baseline:default,true,mean,0.146666666667,0.853333333333,0.733333333333,21641,7880.66666667,10330
