timestamp,model,is_final,seed,ep_ret_SafetyPointGoal1_v0,ep_cost_SafetyPointGoal1_v0,ep_ret_SafetyCarGoal1_v0,ep_cost_SafetyCarGoal1_v0,ep_ret_SafetyPointButton1_v0,ep_cost_SafetyPointButton1_v0,elapsed_SafetyPointGoal1-v0,elapsed_SafetyCarGoal1-v0,elapsed_SafetyPointButton1-v0
2026-04-15T05:35:41.241570+00:00,baseline:naive,true,42,25.1899,45.17,32.3217,64.87,25.037,153.0,19726,18625,18723
2026-04-15T05:35:41.243105+00:00,baseline:naive,true,123,26.1317,52.28,32.4097,64.73,8.7886,163.78,19746,18674,18723
2026-04-15T05:35:41.243450+00:00,baseline:naive,true,456,25.2864,56.8,33.7404,52.55,25.2465,140.51,19746,18741,18723
2026-04-15T05:35:41.243450+00:00,baseline:naive,true,mean,25.536,51.4166666667,32.8239333333,60.7166666667,19.6907,152.43,19739.3333333,18680,18723
2026-04-15T06:29:43.872670+00:00,baseline:ppo_lag,true,42,11.8307,45.72,17.2587,49.18,5.0079,51.31,20156,19360,19778
2026-04-15T06:29:43.875105+00:00,baseline:ppo_lag,true,123,12.4711,42.5,19.8435,40.93,3.6397,59.53,20171,19388,19874
2026-04-15T06:29:43.875512+00:00,baseline:ppo_lag,true,456,21.1206,48.52,18.648,50.03,3.3823,57.83,20260,19478,19874
2026-04-15T06:29:43.875512+00:00,baseline:ppo_lag,true,mean,15.1408,45.58,18.5834,46.7133333333,4.00996666667,56.2233333333,20195.6666667,19408.6666667,19842
2026-04-15T09:38:04.353756+00:00,baseline:pid_lag,true,42,0.5656,13.86,1.2759,25.22,1.0447,24.19,20789,19829,19944
2026-04-15T09:38:04.356228+00:00,baseline:pid_lag,true,123,0.1389,21.58,2.2878,14.01,0.0373,22.21,20789,19829,20037
2026-04-15T09:38:04.356674+00:00,baseline:pid_lag,true,456,-0.1041,22.37,2.4244,18.68,0.3087,28.51,20789,19829,20037
2026-04-15T09:38:04.356674+00:00,baseline:pid_lag,true,mean,0.200133333333,19.27,1.99603333333,19.3033333333,0.463566666667,24.97,20789,19829,20006
